"","sex","isced","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Doctorado","Antofagasta","p21",2010,1498974
"2","Hombre","Doctorado","Antofagasta","p21",2011,1893927
"3","Hombre","Doctorado","Antofagasta","p21",2013,1494336
"4","Hombre","Doctorado","Antofagasta","p21",2014,2000000
"5","Hombre","Doctorado","Antofagasta","p21",2015,2500000
"6","Hombre","Doctorado","Arica","p151",2010,1598906
"7","Hombre","Doctorado","Arica","p151",2011,1348362
"8","Hombre","Doctorado","Arica","p151",2012,1500000
"9","Hombre","Doctorado","Arica","p151",2015,2580712
"10","Hombre","Doctorado","Bíobío","p83",2010,860000
"11","Hombre","Doctorado","Bíobío","p83",2011,720000
"12","Hombre","Doctorado","Bíobío","p83",2012,82863
"13","Hombre","Doctorado","Bíobío","p83",2015,2510187
"14","Hombre","Doctorado","Cachapoal","p61",2010,1331302
"15","Hombre","Doctorado","Cachapoal","p61",2013,996224
"16","Hombre","Doctorado","Cautín","p91",2010,6070845
"17","Hombre","Doctorado","Cautín","p91",2012,1458151
"18","Hombre","Doctorado","Cautín","p91",2013,2503389
"19","Hombre","Doctorado","Cautín","p91",2014,1943320
"20","Hombre","Doctorado","Cautín","p91",2015,1700460
"21","Hombre","Doctorado","Chacabuco","p133",2010,1501468
"22","Hombre","Doctorado","Chacabuco","p133",2011,697763
"23","Hombre","Doctorado","Chacabuco","p133",2012,803608
"24","Hombre","Doctorado","Chacabuco","p133",2013,697357
"25","Hombre","Doctorado","Chacabuco","p133",2014,3031268
"26","Hombre","Doctorado","Chacabuco","p133",2015,1757131
"27","Hombre","Doctorado","Colchagua","p63",2010,1800000
"28","Hombre","Doctorado","Concepción","p81",2010,2500000
"29","Hombre","Doctorado","Concepción","p81",2011,2525000
"30","Hombre","Doctorado","Concepción","p81",2012,3000000
"31","Hombre","Doctorado","Concepción","p81",2013,4981119
"32","Hombre","Doctorado","Concepción","p81",2014,2931983
"33","Hombre","Doctorado","Concepción","p81",2015,2096445
"34","Hombre","Doctorado","Copiapó","p31",2011,2512083
"35","Hombre","Doctorado","Copiapó","p31",2012,1736708
"36","Hombre","Doctorado","Cordillera","p152",2011,996804
"37","Hombre","Doctorado","Cordillera","p152",2012,1200000
"38","Hombre","Doctorado","Cordillera","p152",2013,1200000
"39","Hombre","Doctorado","Cordillera","p152",2014,980000
"40","Hombre","Doctorado","Curicó","p73",2011,1507250
"41","Hombre","Doctorado","Curicó","p73",2012,1206745
"42","Hombre","Doctorado","El Loa","p22",2010,2798085
"43","Hombre","Doctorado","El Loa","p22",2011,2500000
"44","Hombre","Doctorado","El Loa","p22",2012,2500000
"45","Hombre","Doctorado","El Loa","p22",2013,1000000
"46","Hombre","Doctorado","El Loa","p22",2014,1500000
"47","Hombre","Doctorado","Elqui","p41",2011,2292561
"48","Hombre","Doctorado","Elqui","p41",2012,1000000
"49","Hombre","Doctorado","Elqui","p41",2013,2062808
"50","Hombre","Doctorado","Elqui","p41",2014,2300000
"51","Hombre","Doctorado","Elqui","p41",2015,1500000
"52","Hombre","Doctorado","Iquique","p11",2011,1500000
"53","Hombre","Doctorado","Iquique","p11",2012,2000000
"54","Hombre","Doctorado","Iquique","p11",2013,625000
"55","Hombre","Doctorado","Iquique","p11",2014,1000000
"56","Hombre","Doctorado","Iquique","p11",2015,3010187
"57","Hombre","Doctorado","Linares","p74",2011,3014500
"58","Hombre","Doctorado","Linares","p74",2012,3016863
"59","Hombre","Doctorado","Llanquihue","p101",2010,2650000
"60","Hombre","Doctorado","Llanquihue","p101",2011,3500000
"61","Hombre","Doctorado","Llanquihue","p101",2015,3300893
