"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","country","País","country","Hombre","Asalariado sector privado",2010,398278.640216943,250000,"[386030, 411884]","[249829, 250245]"
"2","country","País","country","Hombre","Asalariado sector privado",2011,430075.227977738,279105.010811319,"[420086, 444363]","[271145, 281353]"
"3","country","País","country","Hombre","Asalariado Sector Privado",2012,484753.173062926,301686.325101363,"[470599, 505414]","[301353, 311398]"
"4","country","País","country","Hombre","Asalariado Sector Privado",2013,512261.792063991,348678.295270635,"[501979, 522931]","[340461, 350000]"
"5","country","País","country","Hombre","Asalariado Sector Privado",2014,528233.909696682,354933.433339584,"[517049, 541652]","[351733, 363752]"
"6","country","País","country","Hombre","Asalariado Sector Privado",2015,562621.907255081,397000,"[546272, 576200]","[381548, 400000]"
"7","country","País","country","Hombre","Asalariado sector público",2010,637116.285177645,464733.960607755,"[603162, 679520]","[427900, 499838]"
"8","country","País","country","Hombre","Asalariado sector público",2011,714937.221789361,498401.805020212,"[677021, 751484]","[481627, 505019]"
"9","country","País","country","Hombre","Asalariado Sector Público",2012,709541.490725165,550000,"[671714, 750168]","[502255, 600000]"
"10","country","País","country","Hombre","Cuenta propia",2010,263326.339097229,170166.373067136,"[243011, 289034]","[152141, 180000]"
"11","country","País","country","Hombre","Cuenta propia",2011,285571.586828252,199360.722008085,"[272753, 307959]","[180870, 200000]"
"12","country","País","country","Hombre","Cuenta Propia",2012,298005.134502817,200902.06185567,"[280588, 314730]","[200000, 201019]"
"13","country","País","country","Hombre","Cuenta Propia",2013,312093.354450606,215291.459557163,"[295735, 333365]","[200271, 239570]"
"14","country","País","country","Hombre","Cuenta Propia",2014,335000.697004023,250000,"[318914, 359289]","[235697, 252606]"
"15","country","País","country","Hombre","Cuenta Propia",2015,347700.743859689,250948.866383758,"[330926, 368326]","[250000, 255316]"
"16","country","País","country","Hombre","Empleador",2010,942311.898859664,500489.3325504,"[861304, 1037966]","[499658, 599590]"
"17","country","País","country","Hombre","Empleador",2011,1073242.15310808,600000,"[972018, 1250794]","[580000, 697763]"
"18","country","País","country","Hombre","Empleador",2012,1138539.112524,603372.650202726,"[1013600, 1264511]","[517225, 703935]"
"19","country","País","country","Hombre","Empleador",2013,1180284.09028952,650000,"[1064502, 1362547]","[600813, 771645]"
"20","country","País","country","Hombre","Empleador",2014,1101670.8541821,606253.5531552,"[991217, 1221346]","[599887, 725000]"
"21","country","País","country","Hombre","Empleador",2015,1303904.30127403,702852.227453824,"[1176268, 1470942]","[602099, 803260]"
"22","country","País","country","Hombre","Personal de servicio doméstico puertas adentro",2010,284140.841494035,298664.029187825,"[201734, 347285]","[217411, 354378]"
"23","country","País","country","Hombre","Personal de servicio doméstico puertas adentro",2011,288433.881995108,252847.148718267,"[233890, 361145]","[236117, 308040]"
"24","country","País","country","Hombre","Personal de Servicio Doméstico Puertas Adentro",2012,217932.055761645,192227.150515783,"[159952, 282884]","[125564, 308000]"
"25","country","País","country","Hombre","Personal de servicio doméstico puertas afuera",2010,175342.331525989,169951.062503284,"[147717, 211726]","[133808, 198987]"
"26","country","País","country","Hombre","Personal de servicio doméstico puertas afuera",2011,184540.055366041,179536.746023181,"[165936, 201449]","[166211, 182000]"
"27","country","País","country","Hombre","Personal de Servicio Doméstico Puertas Afuera",2012,179085.103235584,195790.158359546,"[155192, 203384]","[150000, 210378]"
