"","sex","isced","geography_name","geography_id","year","weighted_median"
"1","Hombre","Doctorado","Angol","8",2013,161388.239525265
"2","Hombre","Doctorado","Antofagasta","9",2010,1498974.10845139
"3","Hombre","Doctorado","Antofagasta","9",2011,1893926.85907681
"4","Hombre","Doctorado","Antofagasta","9",2013,925144.877007873
"5","Hombre","Doctorado","Antofagasta","9",2014,1999878.28853908
"6","Hombre","Doctorado","Antofagasta","9",2015,2500000
"7","Hombre","Doctorado","Arica","12",2010,1598905.71568148
"8","Hombre","Doctorado","Arica","12",2011,1348362.28805114
"9","Hombre","Doctorado","Arica","12",2012,1500000
"10","Hombre","Doctorado","Arica","12",2015,2451866.32994353
"11","Hombre","Doctorado","Buin","14",2010,1630000
"12","Hombre","Doctorado","Calama","19",2010,2798085.0024426
"13","Hombre","Doctorado","Calama","19",2011,2500000
"14","Hombre","Doctorado","Calama","19",2012,2500000
"15","Hombre","Doctorado","Calama","19",2013,1000000
"16","Hombre","Doctorado","Calama","19",2014,1500000
"17","Hombre","Doctorado","Chiguayante","41",2010,2500000
"18","Hombre","Doctorado","Chiguayante","41",2011,2300000
"19","Hombre","Doctorado","Chillán","43",2012,5008835
"20","Hombre","Doctorado","Chillán","43",2014,1721996.51367099
"21","Hombre","Doctorado","Chillán","43",2015,2678363.71528191
"22","Hombre","Doctorado","Colina","59",2010,1259152.5838716
"23","Hombre","Doctorado","Colina","59",2011,697762.527028297
"24","Hombre","Doctorado","Colina","59",2012,803608.24742268
"25","Hombre","Doctorado","Colina","59",2013,697356.590541269
"26","Hombre","Doctorado","Colina","59",2014,3031267.765776
"27","Hombre","Doctorado","Colina","59",2015,1757130.56863456
"28","Hombre","Doctorado","Concepción","64",2010,540441.052014979
"29","Hombre","Doctorado","Concepción","64",2011,1898908.76776338
"30","Hombre","Doctorado","Concepción","64",2012,2349259.79315496
"31","Hombre","Doctorado","Concepción","64",2013,2059631.32681189
"32","Hombre","Doctorado","Concepción","64",2014,1957433.82391372
"33","Hombre","Doctorado","Concepción","64",2015,2000541.22316436
"34","Hombre","Doctorado","Concón","63",2015,1885000
"35","Hombre","Doctorado","Copiapó","68",2011,2512083.01743745
"36","Hombre","Doctorado","Copiapó","68",2012,1736707.61150018
"37","Hombre","Doctorado","Coquimbo","69",2011,2292560.58437529
"38","Hombre","Doctorado","Curicó","79",2011,1507249.81046247
"39","Hombre","Doctorado","Curicó","79",2012,1206745.30040545
"40","Hombre","Doctorado","El Bosque","83",2012,452529.487652045
"41","Hombre","Doctorado","El Bosque","83",2013,1852507.90781745
"42","Hombre","Doctorado","Estación Central","90",2012,622796.391752577
"43","Hombre","Doctorado","Hualqui","107",2015,351426.113726912
"44","Hombre","Doctorado","Independencia","112",2012,858800.405455213
"45","Hombre","Doctorado","Iquique","113",2011,1500000
"46","Hombre","Doctorado","Iquique","113",2012,1331749.4600432
"47","Hombre","Doctorado","Iquique","113",2013,625000
"48","Hombre","Doctorado","Iquique","113",2014,1000000
"49","Hombre","Doctorado","Iquique","113",2015,3002037.30532416
"50","Hombre","Doctorado","La Florida","120",2013,1753353.71336091
"51","Hombre","Doctorado","La Florida","120",2014,1515633.882888
"52","Hombre","Doctorado","La Florida","120",2015,3132712.78522276
"53","Hombre","Doctorado","La Reina","125",2010,1449008.30483635
"54","Hombre","Doctorado","La Reina","125",2011,2562324.6777862
"55","Hombre","Doctorado","La Reina","125",2012,1883000
"56","Hombre","Doctorado","La Reina","125",2013,2036902.9654886
"57","Hombre","Doctorado","La Reina","125",2014,2617410.17043331
"58","Hombre","Doctorado","La Reina","125",2015,1500000
"59","Hombre","Doctorado","La Serena","126",2012,1000000
"60","Hombre","Doctorado","La Serena","126",2013,567192.315020912
"61","Hombre","Doctorado","La Serena","126",2014,2300000
"62","Hombre","Doctorado","La Serena","126",2015,1150703.10001926
"63","Hombre","Doctorado","Las Condes","134",2010,1928392.04667524
"64","Hombre","Doctorado","Las Condes","134",2011,1767079.53069456
"65","Hombre","Doctorado","Las Condes","134",2012,3409743.85226506
"66","Hombre","Doctorado","Las Condes","134",2013,669456.687918664
"67","Hombre","Doctorado","Las Condes","134",2014,2188231.914863
"68","Hombre","Doctorado","Las Condes","134",2015,2807495.98997838
"69","Hombre","Doctorado","Linares","139",2011,3014499.62092494
"70","Hombre","Doctorado","Linares","139",2012,3016863.25101363
"71","Hombre","Doctorado","Llanquihue","141",2010,2650000
"72","Hombre","Doctorado","Llanquihue","141",2011,3500000
"73","Hombre","Doctorado","Lo Barnechea","143",2010,1300000
"74","Hombre","Doctorado","Lo Barnechea","143",2011,3265000
"75","Hombre","Doctorado","Lo Barnechea","143",2013,4606235.87889744
"76","Hombre","Doctorado","Los Ángeles","152",2010,860000
"77","Hombre","Doctorado","Los Ángeles","152",2011,720000
"78","Hombre","Doctorado","Los Ángeles","152",2015,2510186.5266208
"79","Hombre","Doctorado","Maipú","162",2011,2400000
"80","Hombre","Doctorado","Maipú","162",2012,1600000
"81","Hombre","Doctorado","Maipú","162",2014,1199774.98593662
"82","Hombre","Doctorado","Melipilla","172",2014,599887.492968311
"83","Hombre","Doctorado","Melipilla","172",2015,350094.714053763
"84","Hombre","Doctorado","Mulchén","176",2012,82863.1772945077
"85","Hombre","Doctorado","Nancagua","178",2010,1800000
"86","Hombre","Doctorado","Ñuñoa","186",2010,800782.93208064
"87","Hombre","Doctorado","Ñuñoa","186",2012,1979817.45225723
"88","Hombre","Doctorado","Ñuñoa","186",2013,2485391.74906808
"89","Hombre","Doctorado","Ñuñoa","186",2014,1857156.7178321
"90","Hombre","Doctorado","Ñuñoa","186",2015,2438389.07127621
"91","Hombre","Doctorado","Osorno","191",2010,1500000
"92","Hombre","Doctorado","Osorno","191",2011,1000000
"93","Hombre","Doctorado","Osorno","191",2012,1200000
"94","Hombre","Doctorado","Osorno","191",2013,2491574.88557919
"95","Hombre","Doctorado","Osorno","191",2014,1499718.73242078
"96","Hombre","Doctorado","Osorno","191",2015,600162.366949308
"97","Hombre","Doctorado","Padre Las Casas","194",2012,543035.385182453
"98","Hombre","Doctorado","Papudo","202",2014,858859.2003032
"99","Hombre","Doctorado","Peñalolén","212",2011,1040000
"100","Hombre","Doctorado","Peñalolén","212",2015,4001082.44632872
"101","Hombre","Doctorado","Pica","217",2012,80000
"102","Hombre","Doctorado","Pica","217",2013,325000
"103","Hombre","Doctorado","Providencia","228",2010,790071.556350626
"104","Hombre","Doctorado","Providencia","228",2011,1000000
"105","Hombre","Doctorado","Providencia","228",2012,2356500.74097454
