"","sex","isced","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Doctorado","Angol","8",2013,161388
"2","Hombre","Doctorado","Antofagasta","9",2010,1498974
"3","Hombre","Doctorado","Antofagasta","9",2011,1893927
"4","Hombre","Doctorado","Antofagasta","9",2013,500000
"5","Hombre","Doctorado","Antofagasta","9",2014,1999625
"6","Hombre","Doctorado","Antofagasta","9",2015,2500000
"7","Hombre","Doctorado","Arica","12",2010,1598906
"8","Hombre","Doctorado","Arica","12",2011,1348362
"9","Hombre","Doctorado","Arica","12",2012,1500000
"10","Hombre","Doctorado","Arica","12",2015,2409779
"11","Hombre","Doctorado","Buin","14",2010,1630000
"12","Hombre","Doctorado","Calama","19",2010,2798085
"13","Hombre","Doctorado","Calama","19",2011,2500000
"14","Hombre","Doctorado","Calama","19",2012,2500000
"15","Hombre","Doctorado","Calama","19",2013,1000000
"16","Hombre","Doctorado","Calama","19",2014,1500000
"17","Hombre","Doctorado","Chiguayante","41",2010,2500000
"18","Hombre","Doctorado","Chiguayante","41",2011,2300000
"19","Hombre","Doctorado","Chillán","43",2012,5008835
"20","Hombre","Doctorado","Chillán","43",2014,1000000
"21","Hombre","Doctorado","Chillán","43",2015,1336563
"22","Hombre","Doctorado","Colina","59",2010,1016837
"23","Hombre","Doctorado","Colina","59",2011,697763
"24","Hombre","Doctorado","Colina","59",2012,803608
"25","Hombre","Doctorado","Colina","59",2013,697357
"26","Hombre","Doctorado","Colina","59",2014,3031268
"27","Hombre","Doctorado","Colina","59",2015,1757131
"28","Hombre","Doctorado","Concepción","64",2010,500489
"29","Hombre","Doctorado","Concepción","64",2011,608433
"30","Hombre","Doctorado","Concepción","64",2012,932459
"31","Hombre","Doctorado","Concepción","64",2013,1496039
"32","Hombre","Doctorado","Concepción","64",2014,1211201
"33","Hombre","Doctorado","Concepción","64",2015,2000541
"34","Hombre","Doctorado","Concón","63",2015,910000
"35","Hombre","Doctorado","Copiapó","68",2011,2512083
"36","Hombre","Doctorado","Copiapó","68",2012,1736708
"37","Hombre","Doctorado","Coquimbo","69",2011,2292561
"38","Hombre","Doctorado","Curicó","79",2011,1507250
"39","Hombre","Doctorado","Curicó","79",2012,1206745
"40","Hombre","Doctorado","El Bosque","83",2012,452529
"41","Hombre","Doctorado","El Bosque","83",2013,1852508
"42","Hombre","Doctorado","Estación Central","90",2012,622796
"43","Hombre","Doctorado","Hualqui","107",2015,351426
"44","Hombre","Doctorado","Independencia","112",2012,858800
"45","Hombre","Doctorado","Iquique","113",2011,1500000
"46","Hombre","Doctorado","Iquique","113",2012,700000
"47","Hombre","Doctorado","Iquique","113",2013,625000
"48","Hombre","Doctorado","Iquique","113",2014,1000000
"49","Hombre","Doctorado","Iquique","113",2015,3000000
"50","Hombre","Doctorado","La Florida","120",2013,1753354
"51","Hombre","Doctorado","La Florida","120",2014,1515634
"52","Hombre","Doctorado","La Florida","120",2015,3132713
"53","Hombre","Doctorado","La Reina","125",2010,1449008
"54","Hombre","Doctorado","La Reina","125",2011,2500000
"55","Hombre","Doctorado","La Reina","125",2012,1466000
"56","Hombre","Doctorado","La Reina","125",2013,2005863
"57","Hombre","Doctorado","La Reina","125",2014,1499719
"58","Hombre","Doctorado","La Reina","125",2015,1500000
"59","Hombre","Doctorado","La Serena","126",2012,1000000
"60","Hombre","Doctorado","La Serena","126",2013,400000
"61","Hombre","Doctorado","La Serena","126",2014,2300000
"62","Hombre","Doctorado","La Serena","126",2015,1000271
"63","Hombre","Doctorado","Las Condes","134",2010,1216000
"64","Hombre","Doctorado","Las Condes","134",2011,1355829
"65","Hombre","Doctorado","Las Condes","134",2012,1216194
"66","Hombre","Doctorado","Las Condes","134",2013,458348
"67","Hombre","Doctorado","Las Condes","134",2014,404169
"68","Hombre","Doctorado","Las Condes","134",2015,1500406
"69","Hombre","Doctorado","Linares","139",2011,3014500
"70","Hombre","Doctorado","Linares","139",2012,3016863
"71","Hombre","Doctorado","Llanquihue","141",2010,2650000
"72","Hombre","Doctorado","Llanquihue","141",2011,3500000
"73","Hombre","Doctorado","Lo Barnechea","143",2010,1300000
"74","Hombre","Doctorado","Lo Barnechea","143",2011,3265000
"75","Hombre","Doctorado","Lo Barnechea","143",2013,3004067
"76","Hombre","Doctorado","Los Ángeles","152",2010,860000
"77","Hombre","Doctorado","Los Ángeles","152",2011,720000
"78","Hombre","Doctorado","Los Ángeles","152",2015,2510187
"79","Hombre","Doctorado","Maipú","162",2011,2400000
"80","Hombre","Doctorado","Maipú","162",2012,1600000
"81","Hombre","Doctorado","Maipú","162",2014,1199775
"82","Hombre","Doctorado","Melipilla","172",2014,599887
"83","Hombre","Doctorado","Melipilla","172",2015,350095
"84","Hombre","Doctorado","Mulchén","176",2012,82863
"85","Hombre","Doctorado","Nancagua","178",2010,1800000
"86","Hombre","Doctorado","Ñuñoa","186",2010,800783
"87","Hombre","Doctorado","Ñuñoa","186",2012,421894
"88","Hombre","Doctorado","Ñuñoa","186",2013,400000
"89","Hombre","Doctorado","Ñuñoa","186",2014,577000
