"","sex","isced","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Doctorado","Antofagasta",2,2010,1498974
"2","Hombre","Doctorado","Antofagasta",2,2011,1893927
"3","Hombre","Doctorado","Antofagasta",2,2012,2500000
"4","Hombre","Doctorado","Antofagasta",2,2013,500000
"5","Hombre","Doctorado","Antofagasta",2,2014,1500000
"6","Hombre","Doctorado","Antofagasta",2,2015,2500000
"7","Hombre","Doctorado","Araucanía",9,2010,2252202
"8","Hombre","Doctorado","Araucanía",9,2012,543035
"9","Hombre","Doctorado","Araucanía",9,2013,1237037
"10","Hombre","Doctorado","Araucanía",9,2014,1699681
"11","Hombre","Doctorado","Araucanía",9,2015,1596479
"12","Hombre","Doctorado","Arica y Parinacota",15,2010,1598906
"13","Hombre","Doctorado","Arica y Parinacota",15,2011,1348362
"14","Hombre","Doctorado","Arica y Parinacota",15,2012,1500000
"15","Hombre","Doctorado","Arica y Parinacota",15,2015,2409779
"16","Hombre","Doctorado","Atacama",3,2011,2512083
"17","Hombre","Doctorado","Atacama",3,2012,1736708
"18","Hombre","Doctorado","Bíobío",8,2010,457878
"19","Hombre","Doctorado","Bíobío",8,2011,796950
"20","Hombre","Doctorado","Bíobío",8,2012,82863
"21","Hombre","Doctorado","Bíobío",8,2013,199245
"22","Hombre","Doctorado","Bíobío",8,2014,1000000
"23","Hombre","Doctorado","Bíobío",8,2015,1064821
"24","Hombre","Doctorado","Coquimbo",4,2011,2292561
"25","Hombre","Doctorado","Coquimbo",4,2012,1000000
"26","Hombre","Doctorado","Coquimbo",4,2013,400000
"27","Hombre","Doctorado","Coquimbo",4,2014,2300000
"28","Hombre","Doctorado","Coquimbo",4,2015,1000271
"29","Hombre","Doctorado","Los Lagos",10,2010,1000000
"30","Hombre","Doctorado","Los Lagos",10,2011,1345697
"31","Hombre","Doctorado","Los Lagos",10,2012,1200000
"32","Hombre","Doctorado","Los Lagos",10,2013,815893
"33","Hombre","Doctorado","Los Lagos",10,2014,1456019
"34","Hombre","Doctorado","Los Lagos",10,2015,552241
"35","Hombre","Doctorado","Los Ríos",14,2010,1301272
"36","Hombre","Doctorado","Los Ríos",14,2011,647922
"37","Hombre","Doctorado","Los Ríos",14,2012,663205
"38","Hombre","Doctorado","Los Ríos",14,2013,692581
"39","Hombre","Doctorado","Los Ríos",14,2014,641618
"40","Hombre","Doctorado","Los Ríos",14,2015,190051
"41","Hombre","Doctorado","Magallanes",12,2010,800783
"42","Hombre","Doctorado","Magallanes",12,2011,6069193
"43","Hombre","Doctorado","Magallanes",12,2012,1004510
"44","Hombre","Doctorado","Magallanes",12,2013,2092070
"45","Hombre","Doctorado","Magallanes",12,2014,1400000
"46","Hombre","Doctorado","Magallanes",12,2015,1800000
"47","Hombre","Doctorado","Maule",7,2010,1498974
"48","Hombre","Doctorado","Maule",7,2011,622997
"49","Hombre","Doctorado","Maule",7,2012,1206745
"50","Hombre","Doctorado","Maule",7,2014,1299756
"51","Hombre","Doctorado","Maule",7,2015,1500406
"52","Hombre","Doctorado","Metropolitana",13,2010,805812
"53","Hombre","Doctorado","Metropolitana",13,2011,1534697
"54","Hombre","Doctorado","Metropolitana",13,2012,1108585
"55","Hombre","Doctorado","Metropolitana",13,2013,736345
"56","Hombre","Doctorado","Metropolitana",13,2014,1428573
"57","Hombre","Doctorado","Metropolitana",13,2015,932088
"58","Hombre","Doctorado","O'Higgins",6,2010,1380113
"59","Hombre","Doctorado","O'Higgins",6,2013,996224
"60","Hombre","Doctorado","Tarapacá",1,2011,1500000
"61","Hombre","Doctorado","Tarapacá",1,2012,475184
"62","Hombre","Doctorado","Tarapacá",1,2013,325000
"63","Hombre","Doctorado","Tarapacá",1,2014,1000000
"64","Hombre","Doctorado","Tarapacá",1,2015,3000000
"65","Hombre","Doctorado","Valparaíso",5,2010,727670
"66","Hombre","Doctorado","Valparaíso",5,2011,502417
"67","Hombre","Doctorado","Valparaíso",5,2012,453527
"68","Hombre","Doctorado","Valparaíso",5,2013,952239
"69","Hombre","Doctorado","Valparaíso",5,2014,858859
"70","Hombre","Doctorado","Valparaíso",5,2015,1949854
"71","Hombre","Educación preescolar","Antofagasta",2,2010,110000
"72","Hombre","Educación preescolar","Antofagasta",2,2011,70338
"73","Hombre","Educación preescolar","Araucanía",9,2010,234031
"74","Hombre","Educación preescolar","Araucanía",9,2011,200000
"75","Hombre","Educación preescolar","Arica y Parinacota",15,2010,404395
"76","Hombre","Educación preescolar","Arica y Parinacota",15,2011,120580
"77","Hombre","Educación preescolar","Atacama",3,2010,110000
"78","Hombre","Educación preescolar","Aysén",11,2011,146043
"79","Hombre","Educación preescolar","Bíobío",8,2010,12012
"80","Hombre","Educación preescolar","Bíobío",8,2011,95707
"81","Hombre","Educación preescolar","Coquimbo",4,2010,59959
"82","Hombre","Educación preescolar","Coquimbo",4,2011,30145
"83","Hombre","Educación preescolar","Los Lagos",10,2010,20000
"84","Hombre","Educación preescolar","Los Lagos",10,2011,182880
"85","Hombre","Educación preescolar","Los Ríos",14,2010,5065
"86","Hombre","Educación preescolar","Los Ríos",14,2011,65314
"87","Hombre","Educación preescolar","Magallanes",12,2011,299041
"88","Hombre","Educación preescolar","Maule",7,2010,16176
"89","Hombre","Educación preescolar","Metropolitana",13,2010,160157
"90","Hombre","Educación preescolar","Metropolitana",13,2011,164141
"91","Hombre","Educación preescolar","O'Higgins",6,2010,120000
"92","Hombre","Educación preescolar","O'Higgins",6,2011,200000
"93","Hombre","Educación preescolar","Tarapacá",1,2011,150000
"94","Hombre","Educación preescolar","Valparaíso",5,2010,39973
"95","Hombre","Educación preescolar","Valparaíso",5,2011,15000
"96","Hombre","Educación preescolar",NA,NA,2010,40039
"97","Hombre","Educación Preescolar","Antofagasta",2,2012,290000
"98","Hombre","Educación Preescolar","Antofagasta",2,2013,210285
"99","Hombre","Educación Preescolar","Antofagasta",2,2014,80834
"100","Hombre","Educación Preescolar","Antofagasta",2,2015,60194
"101","Hombre","Educación Preescolar","Araucanía",9,2014,20099
"102","Hombre","Educación Preescolar","Araucanía",9,2015,10003
"103","Hombre","Educación Preescolar","Arica y Parinacota",15,2012,80450
"104","Hombre","Educación Preescolar","Arica y Parinacota",15,2013,60000
"105","Hombre","Educación Preescolar","Arica y Parinacota",15,2014,93982
"106","Hombre","Educación Preescolar","Arica y Parinacota",15,2015,30000
"107","Hombre","Educación Preescolar","Atacama",3,2012,30135
"108","Hombre","Educación Preescolar","Atacama",3,2013,30048
"109","Hombre","Educación Preescolar","Atacama",3,2014,212189
"110","Hombre","Educación Preescolar","Atacama",3,2015,150000
"111","Hombre","Educación Preescolar","Bíobío",8,2012,27806
"112","Hombre","Educación Preescolar","Bíobío",8,2013,39849
"113","Hombre","Educación Preescolar","Bíobío",8,2014,5052
"114","Hombre","Educación Preescolar","Bíobío",8,2015,51176
"115","Hombre","Educación Preescolar","Coquimbo",4,2012,30169
"116","Hombre","Educación Preescolar","Coquimbo",4,2013,64416
"117","Hombre","Educación Preescolar","Coquimbo",4,2014,197647
"118","Hombre","Educación Preescolar","Coquimbo",4,2015,30008
"119","Hombre","Educación Preescolar","Los Lagos",10,2012,144708
"120","Hombre","Educación Preescolar","Los Lagos",10,2014,118000
"121","Hombre","Educación Preescolar","Los Lagos",10,2015,20000
"122","Hombre","Educación Preescolar","Los Ríos",14,2012,56315
"123","Hombre","Educación Preescolar","Los Ríos",14,2013,115156
"124","Hombre","Educación Preescolar","Magallanes",12,2014,180000
"125","Hombre","Educación Preescolar","Magallanes",12,2015,350000
"126","Hombre","Educación Preescolar","Maule",7,2012,241082
"127","Hombre","Educación Preescolar","Maule",7,2013,60000
"128","Hombre","Educación Preescolar","Maule",7,2014,114978
"129","Hombre","Educación Preescolar","Maule",7,2015,166676
"130","Hombre","Educación Preescolar","Metropolitana",13,2012,35651
"131","Hombre","Educación Preescolar","Metropolitana",13,2013,71404
"132","Hombre","Educación Preescolar","Metropolitana",13,2014,19996
"133","Hombre","Educación Preescolar","Metropolitana",13,2015,234771
"134","Hombre","Educación Preescolar","O'Higgins",6,2012,100562
"135","Hombre","Educación Preescolar","O'Higgins",6,2013,80108
"136","Hombre","Educación Preescolar","O'Higgins",6,2014,219959
"137","Hombre","Educación Preescolar","O'Higgins",6,2015,80022
"138","Hombre","Educación Preescolar","Tarapacá",1,2013,280380
"139","Hombre","Educación Preescolar","Valparaíso",5,2012,38861
"140","Hombre","Educación Preescolar","Valparaíso",5,2013,38003
"141","Hombre","Educación Preescolar","Valparaíso",5,2014,15156
"142","Hombre","Educación Preescolar","Valparaíso",5,2015,60196
"143","Hombre","Educación primaria (nivel 1)","Antofagasta",2,2010,250075
"144","Hombre","Educación primaria (nivel 1)","Antofagasta",2,2011,224772
"145","Hombre","Educación primaria (nivel 1)","Araucanía",9,2010,79983
"146","Hombre","Educación primaria (nivel 1)","Araucanía",9,2011,73738
"147","Hombre","Educación primaria (nivel 1)","Arica y Parinacota",15,2010,139000
"148","Hombre","Educación primaria (nivel 1)","Arica y Parinacota",15,2011,155577
"149","Hombre","Educación primaria (nivel 1)","Atacama",3,2010,160074
"150","Hombre","Educación primaria (nivel 1)","Atacama",3,2011,200967
"151","Hombre","Educación primaria (nivel 1)","Aysén",11,2010,182194
"152","Hombre","Educación primaria (nivel 1)","Aysén",11,2011,179698
"153","Hombre","Educación primaria (nivel 1)","Bíobío",8,2010,145000
"154","Hombre","Educación primaria (nivel 1)","Bíobío",8,2011,149549
"155","Hombre","Educación primaria (nivel 1)","Coquimbo",4,2010,159972
"156","Hombre","Educación primaria (nivel 1)","Coquimbo",4,2011,182325
"157","Hombre","Educación primaria (nivel 1)","Los Lagos",10,2010,140137
"158","Hombre","Educación primaria (nivel 1)","Los Lagos",10,2011,150000
"159","Hombre","Educación primaria (nivel 1)","Los Ríos",14,2010,90088
"160","Hombre","Educación primaria (nivel 1)","Los Ríos",14,2011,99802
"161","Hombre","Educación primaria (nivel 1)","Magallanes",12,2010,200000
"162","Hombre","Educación primaria (nivel 1)","Magallanes",12,2011,191815
"163","Hombre","Educación primaria (nivel 1)","Maule",7,2010,148751
"164","Hombre","Educación primaria (nivel 1)","Maule",7,2011,160773
"165","Hombre","Educación primaria (nivel 1)","Metropolitana",13,2010,174880
"166","Hombre","Educación primaria (nivel 1)","Metropolitana",13,2011,186512
"167","Hombre","Educación primaria (nivel 1)","O'Higgins",6,2010,175081
"168","Hombre","Educación primaria (nivel 1)","O'Higgins",6,2011,200000
"169","Hombre","Educación primaria (nivel 1)","Tarapacá",1,2010,110108
"170","Hombre","Educación primaria (nivel 1)","Tarapacá",1,2011,134759
"171","Hombre","Educación primaria (nivel 1)","Valparaíso",5,2010,156879
"172","Hombre","Educación primaria (nivel 1)","Valparaíso",5,2011,180000
"173","Hombre","Educación primaria (nivel 1)",NA,NA,2010,59048
"174","Hombre","Educación primaria (nivel 1)",NA,NA,2011,24920
"175","Hombre","Educación Primaria (nivel 1)","Antofagasta",2,2012,271152
"176","Hombre","Educación Primaria (nivel 1)","Antofagasta",2,2013,260352
"177","Hombre","Educación Primaria (nivel 1)","Antofagasta",2,2014,223867
"178","Hombre","Educación Primaria (nivel 1)","Antofagasta",2,2015,240000
"179","Hombre","Educación Primaria (nivel 1)","Araucanía",9,2012,80361
"180","Hombre","Educación Primaria (nivel 1)","Araucanía",9,2013,80115
"181","Hombre","Educación Primaria (nivel 1)","Araucanía",9,2014,119977
"182","Hombre","Educación Primaria (nivel 1)","Araucanía",9,2015,120211
"183","Hombre","Educación Primaria (nivel 1)","Arica y Parinacota",15,2012,120256
"184","Hombre","Educación Primaria (nivel 1)","Arica y Parinacota",15,2013,163744
"185","Hombre","Educación Primaria (nivel 1)","Arica y Parinacota",15,2014,180000
"186","Hombre","Educación Primaria (nivel 1)","Arica y Parinacota",15,2015,193786
"187","Hombre","Educación Primaria (nivel 1)","Atacama",3,2012,201057
"188","Hombre","Educación Primaria (nivel 1)","Atacama",3,2013,210080
"189","Hombre","Educación Primaria (nivel 1)","Atacama",3,2014,247929
"190","Hombre","Educación Primaria (nivel 1)","Atacama",3,2015,248700
"191","Hombre","Educación Primaria (nivel 1)","Aysén",11,2012,221165
"192","Hombre","Educación Primaria (nivel 1)","Aysén",11,2013,237983
"193","Hombre","Educación Primaria (nivel 1)","Aysén",11,2014,239955
"194","Hombre","Educación Primaria (nivel 1)","Aysén",11,2015,273074
"195","Hombre","Educación Primaria (nivel 1)","Bíobío",8,2012,160814
"196","Hombre","Educación Primaria (nivel 1)","Bíobío",8,2013,190120
"197","Hombre","Educación Primaria (nivel 1)","Bíobío",8,2014,190007
"198","Hombre","Educación Primaria (nivel 1)","Bíobío",8,2015,196703
"199","Hombre","Educación Primaria (nivel 1)","Coquimbo",4,2012,191499
"200","Hombre","Educación Primaria (nivel 1)","Coquimbo",4,2013,199903
"201","Hombre","Educación Primaria (nivel 1)","Coquimbo",4,2014,224990
"202","Hombre","Educación Primaria (nivel 1)","Coquimbo",4,2015,218824
"203","Hombre","Educación Primaria (nivel 1)","Los Lagos",10,2012,143771
"204","Hombre","Educación Primaria (nivel 1)","Los Lagos",10,2013,174548
"205","Hombre","Educación Primaria (nivel 1)","Los Lagos",10,2014,199962
"206","Hombre","Educación Primaria (nivel 1)","Los Lagos",10,2015,200307
"207","Hombre","Educación Primaria (nivel 1)","Los Ríos",14,2012,114262
"208","Hombre","Educación Primaria (nivel 1)","Los Ríos",14,2013,153089
"209","Hombre","Educación Primaria (nivel 1)","Los Ríos",14,2014,120604
"210","Hombre","Educación Primaria (nivel 1)","Los Ríos",14,2015,154919
"211","Hombre","Educación Primaria (nivel 1)","Magallanes",12,2012,164423
"212","Hombre","Educación Primaria (nivel 1)","Magallanes",12,2013,214013
"213","Hombre","Educación Primaria (nivel 1)","Magallanes",12,2014,230000
"214","Hombre","Educación Primaria (nivel 1)","Magallanes",12,2015,252411
"215","Hombre","Educación Primaria (nivel 1)","Maule",7,2012,169664
"216","Hombre","Educación Primaria (nivel 1)","Maule",7,2013,201013
"217","Hombre","Educación Primaria (nivel 1)","Maule",7,2014,213706
