"","sex","isco","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Algarrobo",1,2010,152210
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Algarrobo",1,2012,251405
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Algarrobo",1,2014,101042
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen",4,2010,47729
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen",4,2011,91076
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen",4,2012,50120
"7","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen",4,2013,148000
"8","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen",4,2014,50257
"9","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen",4,2015,10006
"10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio",5,2010,49966
"11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio",5,2011,149147
"12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio",5,2012,181012
"13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio",5,2013,203275
"14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio",5,2014,252606
"15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio",5,2015,500000
"16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud",6,2010,55793
"17","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud",6,2011,75054
"18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud",6,2012,99431
"19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud",6,2013,100136
"20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud",6,2014,179645
"21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud",6,2015,168403
"22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo",7,2010,116271
"23","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo",7,2011,10350
"24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo",7,2012,29745
"25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo",7,2014,30126
