"","sex","isced","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Doctorado","Antofagasta","2",2010,2798085
"2","Hombre","Doctorado","Antofagasta","2",2011,1939624
"3","Hombre","Doctorado","Antofagasta","2",2012,2500000
"4","Hombre","Doctorado","Antofagasta","2",2013,1494336
"5","Hombre","Doctorado","Antofagasta","2",2014,2000000
"6","Hombre","Doctorado","Antofagasta","2",2015,2500000
"7","Hombre","Doctorado","Araucanía","9",2010,6070845
"8","Hombre","Doctorado","Araucanía","9",2012,1458151
"9","Hombre","Doctorado","Araucanía","9",2013,2503389
"10","Hombre","Doctorado","Araucanía","9",2014,1943320
"11","Hombre","Doctorado","Araucanía","9",2015,1700460
"12","Hombre","Doctorado","Arica y Parinacota","15",2010,1598906
"13","Hombre","Doctorado","Arica y Parinacota","15",2011,1348362
"14","Hombre","Doctorado","Arica y Parinacota","15",2012,1500000
"15","Hombre","Doctorado","Arica y Parinacota","15",2015,2580712
"16","Hombre","Doctorado","Atacama","3",2011,2512083
"17","Hombre","Doctorado","Atacama","3",2012,1736708
"18","Hombre","Doctorado","Bíobío","8",2010,2500000
"19","Hombre","Doctorado","Bíobío","8",2011,2525000
"20","Hombre","Doctorado","Bíobío","8",2012,3000000
"21","Hombre","Doctorado","Bíobío","8",2013,4981119
"22","Hombre","Doctorado","Bíobío","8",2014,2499531
"23","Hombre","Doctorado","Bíobío","8",2015,2978455
"24","Hombre","Doctorado","Coquimbo","4",2011,2292561
"25","Hombre","Doctorado","Coquimbo","4",2012,1000000
"26","Hombre","Doctorado","Coquimbo","4",2013,2062808
"27","Hombre","Doctorado","Coquimbo","4",2014,2300000
"28","Hombre","Doctorado","Coquimbo","4",2015,1500000
"29","Hombre","Doctorado","Los Lagos","10",2010,2650000
"30","Hombre","Doctorado","Los Lagos","10",2011,3500000
"31","Hombre","Doctorado","Los Lagos","10",2012,1683653
"32","Hombre","Doctorado","Los Lagos","10",2013,2827000
"33","Hombre","Doctorado","Los Lagos","10",2014,1499719
"34","Hombre","Doctorado","Los Lagos","10",2015,3300893
"35","Hombre","Doctorado","Los Ríos","14",2010,1301272
"36","Hombre","Doctorado","Los Ríos","14",2011,2200000
"37","Hombre","Doctorado","Los Ríos","14",2012,2000000
"38","Hombre","Doctorado","Los Ríos","14",2013,2405400
"39","Hombre","Doctorado","Los Ríos","14",2014,2490427
"40","Hombre","Doctorado","Los Ríos","14",2015,1791804
"41","Hombre","Doctorado","Magallanes","12",2010,1601566
"42","Hombre","Doctorado","Magallanes","12",2011,6069193
"43","Hombre","Doctorado","Magallanes","12",2012,3963758
"44","Hombre","Doctorado","Magallanes","12",2013,4483007
"45","Hombre","Doctorado","Magallanes","12",2014,1499719
"46","Hombre","Doctorado","Magallanes","12",2015,1800000
"47","Hombre","Doctorado","Maule","7",2010,1498974
"48","Hombre","Doctorado","Maule","7",2011,2476555
"49","Hombre","Doctorado","Maule","7",2012,2803579
"50","Hombre","Doctorado","Maule","7",2014,1999625
"51","Hombre","Doctorado","Maule","7",2015,4501218
"52","Hombre","Doctorado","Metropolitana","13",2010,1656774
"53","Hombre","Doctorado","Metropolitana","13",2011,3265000
"54","Hombre","Doctorado","Metropolitana","13",2012,2614615
"55","Hombre","Doctorado","Metropolitana","13",2013,1973914
"56","Hombre","Doctorado","Metropolitana","13",2014,2521745
"57","Hombre","Doctorado","Metropolitana","13",2015,4001082
"58","Hombre","Doctorado","O'Higgins","6",2010,1800000
"59","Hombre","Doctorado","O'Higgins","6",2013,996224
"60","Hombre","Doctorado","Tarapacá","1",2011,1500000
"61","Hombre","Doctorado","Tarapacá","1",2012,2000000
"62","Hombre","Doctorado","Tarapacá","1",2013,625000
"63","Hombre","Doctorado","Tarapacá","1",2014,1000000
"64","Hombre","Doctorado","Tarapacá","1",2015,3010187
"65","Hombre","Doctorado","Valparaíso","5",2010,1469872
"66","Hombre","Doctorado","Valparaíso","5",2011,2034162
"67","Hombre","Doctorado","Valparaíso","5",2012,2041411
"68","Hombre","Doctorado","Valparaíso","5",2013,2002711
"69","Hombre","Doctorado","Valparaíso","5",2014,1512168
"70","Hombre","Doctorado","Valparaíso","5",2015,5403025
"71","Hombre","Educación Preescolar","Antofagasta","2",2010,110000
"72","Hombre","Educación Preescolar","Antofagasta","2",2011,250000
"73","Hombre","Educación Preescolar","Antofagasta","2",2012,400000
"74","Hombre","Educación Preescolar","Antofagasta","2",2013,300000
"75","Hombre","Educación Preescolar","Antofagasta","2",2014,253149
"76","Hombre","Educación Preescolar","Antofagasta","2",2015,200054
"77","Hombre","Educación Preescolar","Araucanía","9",2010,489665
"78","Hombre","Educación Preescolar","Araucanía","9",2011,200000
"79","Hombre","Educación Preescolar","Araucanía","9",2014,348596
"80","Hombre","Educación Preescolar","Araucanía","9",2015,234536
"81","Hombre","Educación Preescolar","Arica y Parinacota","15",2010,404395
"82","Hombre","Educación Preescolar","Arica y Parinacota","15",2011,398919
"83","Hombre","Educación Preescolar","Arica y Parinacota","15",2012,80450
"84","Hombre","Educación Preescolar","Arica y Parinacota","15",2013,174961
"85","Hombre","Educación Preescolar","Arica y Parinacota","15",2014,93982
"86","Hombre","Educación Preescolar","Arica y Parinacota","15",2015,100266
"87","Hombre","Educación Preescolar","Atacama","3",2010,199863
"88","Hombre","Educación Preescolar","Atacama","3",2012,200000
"89","Hombre","Educación Preescolar","Atacama","3",2013,270366
"90","Hombre","Educación Preescolar","Atacama","3",2014,252606
"91","Hombre","Educación Preescolar","Atacama","3",2015,150000
"92","Hombre","Educación Preescolar","Aysén","11",2011,300000
"93","Hombre","Educación Preescolar","Bíobío","8",2010,31997
"94","Hombre","Educación Preescolar","Bíobío","8",2011,182880
"95","Hombre","Educación Preescolar","Bíobío","8",2012,195813
"96","Hombre","Educación Preescolar","Bíobío","8",2013,44560
"97","Hombre","Educación Preescolar","Bíobío","8",2014,197032
"98","Hombre","Educación Preescolar","Bíobío","8",2015,256000
"99","Hombre","Educación Preescolar","Coquimbo","4",2010,173000
"100","Hombre","Educación Preescolar","Coquimbo","4",2011,133417
"101","Hombre","Educación Preescolar","Coquimbo","4",2012,180812
"102","Hombre","Educación Preescolar","Coquimbo","4",2013,215000
"103","Hombre","Educación Preescolar","Coquimbo","4",2014,264000
"104","Hombre","Educación Preescolar","Coquimbo","4",2015,241065
"105","Hombre","Educación Preescolar","Los Lagos","10",2010,110000
"106","Hombre","Educación Preescolar","Los Lagos","10",2011,182880
"107","Hombre","Educación Preescolar","Los Lagos","10",2012,163735
"108","Hombre","Educación Preescolar","Los Lagos","10",2014,279947
"109","Hombre","Educación Preescolar","Los Lagos","10",2015,20000
"110","Hombre","Educación Preescolar","Los Ríos","14",2010,180176
"111","Hombre","Educación Preescolar","Los Ríos","14",2011,65314
"112","Hombre","Educación Preescolar","Los Ríos","14",2012,56315
"113","Hombre","Educación Preescolar","Los Ríos","14",2013,207215
"114","Hombre","Educación Preescolar","Magallanes","12",2011,299041
"115","Hombre","Educación Preescolar","Magallanes","12",2014,180000
"116","Hombre","Educación Preescolar","Magallanes","12",2015,350000
"117","Hombre","Educación Preescolar","Maule","7",2010,60059
"118","Hombre","Educación Preescolar","Maule","7",2012,241082
"119","Hombre","Educación Preescolar","Maule","7",2013,249056
"120","Hombre","Educación Preescolar","Maule","7",2014,199962
"121","Hombre","Educación Preescolar","Maule","7",2015,166676
"122","Hombre","Educación Preescolar","Metropolitana","13",2010,250245
"123","Hombre","Educación Preescolar","Metropolitana","13",2011,320000
"124","Hombre","Educación Preescolar","Metropolitana","13",2012,290610
"125","Hombre","Educación Preescolar","Metropolitana","13",2013,443119
"126","Hombre","Educación Preescolar","Metropolitana","13",2014,213899
"127","Hombre","Educación Preescolar","Metropolitana","13",2015,425549
"128","Hombre","Educación Preescolar","O'Higgins","6",2010,175171
"129","Hombre","Educación Preescolar","O'Higgins","6",2011,211015
"130","Hombre","Educación Preescolar","O'Higgins","6",2012,120000
"131","Hombre","Educación Preescolar","O'Higgins","6",2013,250000
"132","Hombre","Educación Preescolar","O'Higgins","6",2014,249953
"133","Hombre","Educación Preescolar","O'Higgins","6",2015,352698
"134","Hombre","Educación Preescolar","Tarapacá","1",2011,299041
"135","Hombre","Educación Preescolar","Tarapacá","1",2013,280380
"136","Hombre","Educación Preescolar","Valparaíso","5",2010,220215
"137","Hombre","Educación Preescolar","Valparaíso","5",2011,199846
"138","Hombre","Educación Preescolar","Valparaíso","5",2012,226265
"139","Hombre","Educación Preescolar","Valparaíso","5",2013,229930
"140","Hombre","Educación Preescolar","Valparaíso","5",2014,243277
"141","Hombre","Educación Preescolar","Valparaíso","5",2015,261059
"142","Hombre","Educación Preescolar",NA,NA,2010,62800
"143","Hombre","Educación Primaria (nivel 1)","Antofagasta","2",2010,430012
"144","Hombre","Educación Primaria (nivel 1)","Antofagasta","2",2011,398721
"145","Hombre","Educación Primaria (nivel 1)","Antofagasta","2",2012,351967
"146","Hombre","Educación Primaria (nivel 1)","Antofagasta","2",2013,400000
"147","Hombre","Educación Primaria (nivel 1)","Antofagasta","2",2014,403806
"148","Hombre","Educación Primaria (nivel 1)","Antofagasta","2",2015,581000
"149","Hombre","Educación Primaria (nivel 1)","Araucanía","9",2010,120805
"150","Hombre","Educación Primaria (nivel 1)","Araucanía","9",2011,131546
"151","Hombre","Educación Primaria (nivel 1)","Araucanía","9",2012,130731
"152","Hombre","Educación Primaria (nivel 1)","Araucanía","9",2013,149541
"153","Hombre","Educación Primaria (nivel 1)","Araucanía","9",2014,187172
"154","Hombre","Educación Primaria (nivel 1)","Araucanía","9",2015,182151
"155","Hombre","Educación Primaria (nivel 1)","Arica y Parinacota","15",2010,199863
"156","Hombre","Educación Primaria (nivel 1)","Arica y Parinacota","15",2011,204822
"157","Hombre","Educación Primaria (nivel 1)","Arica y Parinacota","15",2012,202911
"158","Hombre","Educación Primaria (nivel 1)","Arica y Parinacota","15",2013,218163
"159","Hombre","Educación Primaria (nivel 1)","Arica y Parinacota","15",2014,245941
"160","Hombre","Educación Primaria (nivel 1)","Arica y Parinacota","15",2015,297354
"161","Hombre","Educación Primaria (nivel 1)","Atacama","3",2010,213693
"162","Hombre","Educación Primaria (nivel 1)","Atacama","3",2011,287184
"163","Hombre","Educación Primaria (nivel 1)","Atacama","3",2012,300000
"164","Hombre","Educación Primaria (nivel 1)","Atacama","3",2013,308654
"165","Hombre","Educación Primaria (nivel 1)","Atacama","3",2014,299944
"166","Hombre","Educación Primaria (nivel 1)","Atacama","3",2015,360000
"167","Hombre","Educación Primaria (nivel 1)","Aysén","11",2010,240000
"168","Hombre","Educación Primaria (nivel 1)","Aysén","11",2011,264182
"169","Hombre","Educación Primaria (nivel 1)","Aysén","11",2012,281263
"170","Hombre","Educación Primaria (nivel 1)","Aysén","11",2013,298867
"171","Hombre","Educación Primaria (nivel 1)","Aysén","11",2014,299944
"172","Hombre","Educación Primaria (nivel 1)","Aysén","11",2015,351426
"173","Hombre","Educación Primaria (nivel 1)","Bíobío","8",2010,159893
"174","Hombre","Educación Primaria (nivel 1)","Bíobío","8",2011,179425
"175","Hombre","Educación Primaria (nivel 1)","Bíobío","8",2012,193042
"176","Hombre","Educación Primaria (nivel 1)","Bíobío","8",2013,208787
"177","Hombre","Educación Primaria (nivel 1)","Bíobío","8",2014,218136
"178","Hombre","Educación Primaria (nivel 1)","Bíobío","8",2015,240000
"179","Hombre","Educación Primaria (nivel 1)","Coquimbo","4",2010,187939
"180","Hombre","Educación Primaria (nivel 1)","Coquimbo","4",2011,205383
"181","Hombre","Educación Primaria (nivel 1)","Coquimbo","4",2012,234582
"182","Hombre","Educación Primaria (nivel 1)","Coquimbo","4",2013,230312
"183","Hombre","Educación Primaria (nivel 1)","Coquimbo","4",2014,279956
"184","Hombre","Educación Primaria (nivel 1)","Coquimbo","4",2015,252000
"185","Hombre","Educación Primaria (nivel 1)","Los Lagos","10",2010,172246
"186","Hombre","Educación Primaria (nivel 1)","Los Lagos","10",2011,182880
"187","Hombre","Educación Primaria (nivel 1)","Los Lagos","10",2012,199474
"188","Hombre","Educación Primaria (nivel 1)","Los Lagos","10",2013,200320
"189","Hombre","Educación Primaria (nivel 1)","Los Lagos","10",2014,225143
"190","Hombre","Educación Primaria (nivel 1)","Los Lagos","10",2015,250000
"191","Hombre","Educación Primaria (nivel 1)","Los Ríos","14",2010,155764
"192","Hombre","Educación Primaria (nivel 1)","Los Ríos","14",2011,180745
"193","Hombre","Educación Primaria (nivel 1)","Los Ríos","14",2012,200884
"194","Hombre","Educación Primaria (nivel 1)","Los Ríos","14",2013,202697
"195","Hombre","Educación Primaria (nivel 1)","Los Ríos","14",2014,205354
"196","Hombre","Educación Primaria (nivel 1)","Los Ríos","14",2015,214246
"197","Hombre","Educación Primaria (nivel 1)","Magallanes","12",2010,333476
"198","Hombre","Educación Primaria (nivel 1)","Magallanes","12",2011,299041
"199","Hombre","Educación Primaria (nivel 1)","Magallanes","12",2012,500000
"200","Hombre","Educación Primaria (nivel 1)","Magallanes","12",2013,335454
"201","Hombre","Educación Primaria (nivel 1)","Magallanes","12",2014,391963
"202","Hombre","Educación Primaria (nivel 1)","Magallanes","12",2015,392033
"203","Hombre","Educación Primaria (nivel 1)","Maule","7",2010,160024
"204","Hombre","Educación Primaria (nivel 1)","Maule","7",2011,179468
"205","Hombre","Educación Primaria (nivel 1)","Maule","7",2012,193870
"206","Hombre","Educación Primaria (nivel 1)","Maule","7",2013,219265
"207","Hombre","Educación Primaria (nivel 1)","Maule","7",2014,243760
"208","Hombre","Educación Primaria (nivel 1)","Maule","7",2015,250000
"209","Hombre","Educación Primaria (nivel 1)","Metropolitana","13",2010,199863
"210","Hombre","Educación Primaria (nivel 1)","Metropolitana","13",2011,200967
