"","geography_level","geography_name","geography_id","sex","isced","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"1","region","Antofagasta","2","Hombre","Doctorado",2010,1931398.0166428,1931398.0166428,"[1498974, 2798085]","[1498974, 2798085]"
"2","region","Antofagasta","2","Hombre","Doctorado",2011,1939624.11809461,1939624.11809461,"[1893927, 1939624]","[1893927, 1939624]"
"3","region","Antofagasta","2","Hombre","Doctorado",2012,2500000,2500000,"[2500000, 2500000]","[2500000, 2500000]"
"4","region","Antofagasta","2","Hombre","Doctorado",2013,946669.316801691,925788.438095875,"[500000, 1494336]","[500000, 1494336]"
"5","region","Antofagasta","2","Hombre","Doctorado",2014,1885669.00025026,1999767.23175197,"[1614192, 2000000]","[1500000, 2000000]"
"6","region","Antofagasta","2","Hombre","Doctorado",2015,2500000,2500000,"[2500000, 2500000]","[2500000, 2500000]"
"7","region","Araucanía","9","Hombre","Doctorado",2010,3297192.46689577,3297192.46689577,"[2252202, 6070845]","[2252202, 6070845]"
"8","region","Araucanía","9","Hombre","Doctorado",2012,895148.915649074,950790.345842796,"[543035, 1332769]","[543035, 1458151]"
"9","region","Araucanía","9","Hombre","Doctorado",2013,2128094.84114836,2332433.478221,"[1253627, 2503389]","[1237037, 2503389]"
"10","region","Araucanía","9","Hombre","Doctorado",2014,1756361.11059758,1756361.11059758,"[1699681, 1943320]","[1699681, 1943320]"
"11","region","Araucanía","9","Hombre","Doctorado",2015,1672796.53655733,1672796.53655733,"[1596479, 1700460]","[1596479, 1700460]"
"12","region","Arica y Parinacota","15","Hombre","Doctorado",2010,1598905.71568148,1598905.71568148,"[1598906, 1598906]","[1598906, 1598906]"
"13","region","Arica y Parinacota","15","Hombre","Doctorado",2011,1348362.28805114,1348362.28805114,"[1348362, 1348362]","[1348362, 1348362]"
"14","region","Arica y Parinacota","15","Hombre","Doctorado",2012,1500000,1500000,"[1500000, 1500000]","[1500000, 1500000]"
"15","region","Arica y Parinacota","15","Hombre","Doctorado",2015,2451866.32994353,2451866.32994353,"[2409779, 2580712]","[2409779, 2580712]"
